Topic	Subtopic	URL	Problem Title
Greedy techniques	Fractional Knapsack	https://www.codechef.com/learn/course/thapar-daa-2026/FRACTIONKNAP/problems/KNAPSACKPR2	What
Greedy techniques	Fractional Knapsack	https://www.codechef.com/learn/course/thapar-daa-2026/FRACTIONKNAP/problems/DAA074	Fractional
Greedy techniques	Activity selection	https://www.codechef.com/learn/course/thapar-daa-2026/ACTIVITYSELE/problems/ACTIVITYSEL1	What
Greedy techniques	Activity selection	https://www.codechef.com/learn/course/thapar-daa-2026/ACTIVITYSELE/problems/ACTIVITYSEL2	Whats
Greedy techniques	Activity selection	https://www.codechef.com/learn/course/thapar-daa-2026/ACTIVITYSELE/problems/COCRZ01	Chef
Greedy techniques	Minimum Platforms	https://www.codechef.com/learn/course/thapar-daa-2026/MINPLATFORMS/problems/MINPLATFORM1	Minimum
Greedy techniques	Minimum Platforms	https://www.codechef.com/learn/course/thapar-daa-2026/MINPLATFORMS/problems/MINPLATFORM2	Greedy
Greedy techniques	Minimum Platforms	https://www.codechef.com/learn/course/thapar-daa-2026/MINPLATFORMS/problems/NUTANIX10	Minimum
Greedy techniques	Job scheduling problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA37/problems/MDDYQ139	Job
Greedy techniques	Job scheduling problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA37/problems/MDDYQ140	Job
Greedy techniques	Job scheduling problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA37/problems/MDDYQ141	MCQ-2
Greedy techniques	Job scheduling problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA37/problems/MDDYQ142	What
Greedy techniques	Job scheduling problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA37/problems/MDDYQ143	Job
Greedy techniques	Job scheduling problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA37/problems/JBSQNCE	Job
Greedy techniques	Huffman Trees and codes	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA38/problems/MDDYQ144	Data
Greedy techniques	Huffman Trees and codes	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA38/problems/MDDYQ145	MCQ
Greedy techniques	Huffman Trees and codes	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA38/problems/MDDYQ146	Encoding
Greedy techniques	Huffman Trees and codes	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA38/problems/MDDYQ147	Huffman
Greedy techniques	Huffman Trees and codes	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA38/problems/MDDYQ148	Huffman
Greedy techniques	Huffman Trees and codes	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA38/problems/MDDYQ149	Implementing
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/COOKIEDIST	Cookie
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/TDQVH01	Changes
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/AVEEC01	Chef
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/VISA02	Jump
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/DAA140	Calculate
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/DAA145	Calculate
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/MDDYQ156	Single
Greedy techniques	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GREEDYPRACTI/problems/SUBSEG2	Chef
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ159	Fractional
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ160	Knapsack
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ161	Greedy
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ162	Brute
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ163	Dynamic
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ164	Base
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ165	Knapsack
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ166	Analysis
Dynamic Programming	Knapsack problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA40/problems/MDDYQ167	Subset
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ168	Longest
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ169	Brute
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ170	DP
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ171	Base
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ172	Longest
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ173	MCQ
Dynamic Programming	Longest common subsequence	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41/problems/MDDYQ174	Longest
Dynamic Programming	Minimum Cost Matrix Chain Multiplication	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA41B/problems/MDDYQ249	Same
